key,label,description,parent_category,
spleg,Legislative policy areas,Policy areas where a chamber of the legislature has special privileges or restrictions,Legislature,
standliv,Standard of living,"Allows individuals to have a reasonable standard of living, including basic needs, decent living conditions, an adequate well-being, suitable existence, quality of life, dignified life, or life worthy of a human being","Rights and Duties/Social Rights
",
stdcom,Standing committees,Establishes permanent committees with oversight in given policy areas,"Legislature/Structure of the Legislature
",
strike,Strike,Allows individuals to cease work for a period of time to exert pressure on their employer,"Rights and Duties/Social Rights
",
sub,Subsidiary unit government,"Establishes the structures and competencies of provincial, regional, or state government","Federalism/Structure of the State
",
succ,Replacement,Establishes the process and bodies competent to replace a government official before the normally scheduled replacement process,Principles and Symbols,
sup,Supreme court,Establishes the supreme court as the highest ordinary court,"Judiciary/Judicial Autonomy and Power
Judiciary/Supreme Court
",
system,Government system,Establishes the structure and system of government,"Principles and Symbols/Basic Principles
",
tax,Tax law,Special legislative process for tax legislation on collecting revenue in the form of taxes or tariffs,"Legislature/Special Legislation
",
taxes,Taxes requirement,Requires individuals to pay taxes,"Rights and Duties/Citizen Duties
",
telecom,Telecommunications,"Reference to wired or wireless communication, including telephones, satellites, the internet, and other communication technologies","Regulation and Oversight/Media and Communications
",
term,Term length,Number of years that a government official serves in a term,Principles and Symbols,
terml,Term limit,Maximum number of terms that a government official serves,Principles and Symbols,
terror,Terrorism,Legal and security procedures regarding terrorism,"Executive/Military
",
torture,Torture,Forbids the use of torture or coerced confessions,"Rights and Duties/Physical Integrity Rights
",
tranprov,Transitional provisions,Temporary text in a constitution that guides the transition from the previous system to the new system,"Special Sections
",
transfer,Transfer property,"Allows individuals to dispose of property through sale, gift, wills, inheritance, or other means","Rights and Duties/Economic Rights
",
treat,Treaty ratification,Procedures to gain approval for accession to a treaty,"International Law/Treaties
",
treatcon,Treaty legal status,Establishes whether treaties are superior or inferior to domestic legal documents,"International Law/Treaties
",
tribe,Tribe or clan,"Tribe, clan, or political or social group descending from a common ancestor","Culture and Identity/Race and Ethnicity
Rights and Duties/Equality, Gender, and Minority Rights
",
trilang,Trial in native language of accused,"Allows individuals charged with an offense to be informed of the reason for their arrest in a language they understand, to have their trial conducted in a language they understand, or to have an interpreter during detention or trial if they cannot understand the language","Culture and Identity/Language
Rights and Duties/Legal Procedural Rights
",
truthcom,Truth and reconciliation commission,Establishes an independent commission to hear testimony about human rights violations and other crimes committed by the previous regime,"Regulation and Oversight/Independent Agencies and Commissions
",
tv,Television,Reference to the wireless transmission of audio-visual programs,"Regulation and Oversight/Media and Communications
",
uh,Second chamber,Relates to the second or upper chamber of the legislature,Legislature/Second Chamber,
unamend,Unamendable,Parts of the constitutions that are so fundamental that they are unamendable,"Amendment
",
uncon,Constitutionality of legislation,Procedures for examining whether the content of a piece of legislation adheres to the constitution,"Judiciary/Judicial Autonomy and Power
Judiciary/Judicial Review
",
vicright,Victims,Addresses needs of crime victims in the justice process,"Rights and Duties/Legal Procedural Rights
",
votemin,Voting age,Minimum age limit for voting in an election,"Elections/Suffrage and Turnout
",
voteres,Voting restrictions,"Qualifications or restrictions on voting in an election, for example on the basis of residency, age, or registration","Elections/Suffrage and Turnout
",
voteun,Universal suffrage,Allows all individuals to vote in elections to indicate their choice of candidate,"Elections/Suffrage and Turnout
Rights and Duties/Civil and Political Rights
",
war,War,Allows establishing a declaration of war,"Executive/Military
International Law/Foreign Policy
",
water,Water,"Guarantees safe, clean, or potable drinking water","Rights and Duties/Social Rights
",
wolaw,No punishment without law,"Prohibits arrest, detention, prosecution, or punishment for actions that are not defined in law as crimes; prohibits sentences that are greater than those defined in law","Rights and Duties/Legal Procedural Rights
",
work,Work requirement,Requires individuals to work,"Rights and Duties/Citizen Duties
",
